T06,"Enrolment in primary, secondary and tertiary education levels",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
120,Cameroon,2010,Students enrolled in tertiary education (thousands),220.3310,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
120,Cameroon,2010,Gross enrollment ratio - Tertiary (male),12.3037,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
120,Cameroon,2010,Gross enrollment ratio - Tertiary (female),10.0033,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
120,Cameroon,2014,Students enrolled in primary education (thousands),4142.7750,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
120,Cameroon,2014,Gross enrollment ratio - Primary (male),119.7666,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
120,Cameroon,2014,Gross enrollment ratio - Primary (female),106.6981,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
120,Cameroon,2014,Students enrolled in secondary education (thousands),2000.0760,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
120,Cameroon,2014,Gross enrollment ratio - Secondary (male),62.1351,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
120,Cameroon,2014,Gross enrollment ratio - Secondary (female),52.8349,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
120,Cameroon,2014,Students enrolled in tertiary education (thousands),349.7560,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
120,Cameroon,2014,Gross enrollment ratio - Tertiary (male),18.2929,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
120,Cameroon,2014,Gross enrollment ratio - Tertiary (female),14.2563,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
120,Cameroon,2015,Students enrolled in primary education (thousands),4369.9880,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
120,Cameroon,2015,Gross enrollment ratio - Primary (male),122.3912,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
120,Cameroon,2015,Gross enrollment ratio - Primary (female),109.9387,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
120,Cameroon,2015,Students enrolled in secondary education (thousands),2108.2790,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
120,Cameroon,2015,Gross enrollment ratio - Secondary (male),63.6181,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
120,Cameroon,2015,Gross enrollment ratio - Secondary (female),54.3952,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
120,Cameroon,2015,Students enrolled in tertiary education (thousands),371.5680,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
120,Cameroon,2015,Gross enrollment ratio - Tertiary (male),18.8060,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
120,Cameroon,2015,Gross enrollment ratio - Tertiary (female),15.1074,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
120,Cameroon,2016,Students enrolled in primary education (thousands),4481.2350,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
120,Cameroon,2016,Gross enrollment ratio - Primary (male),122.1565,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
120,Cameroon,2016,Gross enrollment ratio - Primary (female),109.9869,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
120,Cameroon,2016,Students enrolled in secondary education (thousands),2206.8780,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
120,Cameroon,2016,Gross enrollment ratio - Secondary (male),64.6217,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
120,Cameroon,2016,Gross enrollment ratio - Secondary (female),55.4431,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
120,Cameroon,2016,Students enrolled in tertiary education (thousands),278.7470,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
120,Cameroon,2016,Gross enrollment ratio - Tertiary (male),13.2612,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
120,Cameroon,2016,Gross enrollment ratio - Tertiary (female),11.6888,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
120,Cameroon,2017,Students enrolled in primary education (thousands),4371.3810,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
120,Cameroon,2017,Gross enrollment ratio - Primary (male),116.0458,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
120,Cameroon,2017,Gross enrollment ratio - Primary (female),104.5063,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
120,Cameroon,2017,Students enrolled in tertiary education (thousands),290.2590,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
120,Cameroon,2017,Gross enrollment ratio - Tertiary (male),14.0675,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
120,Cameroon,2017,Gross enrollment ratio - Tertiary (female),11.4444,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
120,Cameroon,2018,Students enrolled in primary education (thousands),4201.9880,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
120,Cameroon,2018,Gross enrollment ratio - Primary (male),108.7065,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
120,Cameroon,2018,Gross enrollment ratio - Primary (female),98.0121,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2002,Students enrolled in tertiary education (thousands),1254.8330,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2002,Gross enrollment ratio - Tertiary (male),50.6549,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2002,Gross enrollment ratio - Tertiary (female),68.8968,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2005,Students enrolled in primary education (thousands),2320.7380,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2005,Gross enrollment ratio - Primary (male),97.7712,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2005,Gross enrollment ratio - Primary (female),96.9387,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2005,Students enrolled in secondary education (thousands),2601.9260,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2005,Gross enrollment ratio - Secondary (male),102.4871,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2005,Gross enrollment ratio - Secondary (female),100.2344,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2010,Students enrolled in primary education (thousands),2168.0220,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2010,Gross enrollment ratio - Primary (male),98.3922,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2010,Gross enrollment ratio - Primary (female),98.9051,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2010,Students enrolled in secondary education (thousands),2611.6190,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2010,Gross enrollment ratio - Secondary (male),103.5830,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2010,Gross enrollment ratio - Secondary (female),101.1567,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2010,Students enrolled in tertiary education (thousands),1430.1690,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2010,Gross enrollment ratio - Tertiary (male),52.0463,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2010,Gross enrollment ratio - Tertiary (female),71.8228,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2014,Students enrolled in primary education (thousands),2249.1640,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2014,Gross enrollment ratio - Primary (male),100.9487,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2014,Gross enrollment ratio - Primary (female),102.1587,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2014,Students enrolled in secondary education (thousands),2661.0890,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2014,Gross enrollment ratio - Secondary (male),109.0323,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2014,Gross enrollment ratio - Secondary (female),109.6512,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2014,Students enrolled in tertiary education (thousands),1577.7660,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2014,Gross enrollment ratio - Tertiary (male),56.3705,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2014,Gross enrollment ratio - Tertiary (female),75.2660,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2015,Students enrolled in primary education (thousands),2303.9640,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2015,Gross enrollment ratio - Primary (male),102.0842,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2015,Gross enrollment ratio - Primary (female),102.9080,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2015,Students enrolled in secondary education (thousands),2641.6750,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2015,Gross enrollment ratio - Secondary (male),109.8840,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2015,Gross enrollment ratio - Secondary (female),110.8576,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2015,Students enrolled in tertiary education (thousands),1564.1250,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2015,Gross enrollment ratio - Tertiary (male),55.5311,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2015,Gross enrollment ratio - Tertiary (female),74.4804,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2017,Students enrolled in primary education (thousands),2364.6260,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2017,Gross enrollment ratio - Primary (male),101.0624,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2017,Gross enrollment ratio - Primary (female),100.8191,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2017,Students enrolled in secondary education (thousands),2653.0090,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2017,Gross enrollment ratio - Secondary (male),113.0467,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2017,Gross enrollment ratio - Secondary (female),114.5206,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2017,Students enrolled in tertiary education (thousands),1625.5780,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2017,Gross enrollment ratio - Tertiary (male),59.0687,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
124,Canada,2017,Gross enrollment ratio - Tertiary (female),79.2924,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
136,Cayman Islands,2003,Students enrolled in tertiary education (thousands),0.5600,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
136,Cayman Islands,2005,Students enrolled in primary education (thousands),3.2400,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
136,Cayman Islands,2005,Students enrolled in secondary education (thousands),2.8240,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
136,Cayman Islands,2008,Students enrolled in primary education (thousands),3.7360,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
136,Cayman Islands,2008,Students enrolled in secondary education (thousands),3.1980,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
136,Cayman Islands,2008,Students enrolled in tertiary education (thousands),0.9120,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
136,Cayman Islands,2013,Students enrolled in primary education (thousands),3.9500,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
136,Cayman Islands,2013,Students enrolled in secondary education (thousands),3.3870,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
136,Cayman Islands,2018,Students enrolled in primary education (thousands),4.2990,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
136,Cayman Islands,2018,Students enrolled in secondary education (thousands),3.4760,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2000,Students enrolled in tertiary education (thousands),6.3230,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2000,Gross enrollment ratio - Tertiary (male),3.2347,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2000,Gross enrollment ratio - Tertiary (female),0.6185,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2001,Students enrolled in primary education (thousands),458.5850,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2001,Gross enrollment ratio - Primary (male),91.7526,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2001,Gross enrollment ratio - Primary (female),63.8529,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2001,Students enrolled in secondary education (thousands),70.1620,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2001,Gross enrollment ratio - Secondary (male),15.6637,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2001,Gross enrollment ratio - Secondary (female),8.3310,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2002,Students enrolled in primary education (thousands),410.5620,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2002,Gross enrollment ratio - Primary (male),81.1620,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2002,Gross enrollment ratio - Primary (female),55.2638,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2002,Students enrolled in secondary education (thousands),71.8930,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2004,Students enrolled in primary education (thousands),363.1580,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2004,Gross enrollment ratio - Primary (male),68.7879,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2004,Gross enrollment ratio - Primary (female),46.4042,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2004,Students enrolled in tertiary education (thousands),6.3840,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2005,Students enrolled in primary education (thousands),412.3810,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2005,Gross enrollment ratio - Primary (male),75.1138,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2005,Gross enrollment ratio - Primary (female),52.6202,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2009,Students enrolled in primary education (thousands),608.0750,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2009,Gross enrollment ratio - Primary (male),98.6719,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2009,Gross enrollment ratio - Primary (female),71.3901,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2009,Students enrolled in secondary education (thousands),93.3410,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2009,Gross enrollment ratio - Secondary (male),17.4065,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2009,Gross enrollment ratio - Secondary (female),9.8354,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2009,Students enrolled in tertiary education (thousands),10.4270,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2009,Gross enrollment ratio - Tertiary (male),3.5258,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2009,Gross enrollment ratio - Tertiary (female),1.5467,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2010,Students enrolled in primary education (thousands),636.8710,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2010,Gross enrollment ratio - Primary (male),101.1559,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2010,Gross enrollment ratio - Primary (female),73.4072,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2010,Students enrolled in tertiary education (thousands),11.1580,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2010,Gross enrollment ratio - Tertiary (male),4.0378,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2010,Gross enrollment ratio - Tertiary (female),1.3082,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2012,Students enrolled in primary education (thousands),662.3170,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2012,Gross enrollment ratio - Primary (male),99.8222,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2012,Gross enrollment ratio - Primary (female),75.7121,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2012,Students enrolled in secondary education (thousands),125.9070,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2012,Gross enrollment ratio - Secondary (male),22.8628,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2012,Gross enrollment ratio - Secondary (female),11.9232,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
140,Central African Republic,2012,Students enrolled in tertiary education (thousands),12.5220,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
