T06,"Enrolment in primary, secondary and tertiary education levels",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2015,Gross enrollment ratio - Primary (female),102.4833,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2015,Students enrolled in secondary education (thousands),582977.1460,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2015,Gross enrollment ratio - Secondary (male),75.8609,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2015,Gross enrollment ratio - Secondary (female),74.9425,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2015,Students enrolled in tertiary education (thousands),217626.6071,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2015,Gross enrollment ratio - Tertiary (male),34.8279,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2015,Gross enrollment ratio - Tertiary (female),38.8984,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2018,Students enrolled in primary education (thousands),750739.3790,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2018,Gross enrollment ratio - Primary (male),103.7687,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
1,"Total, all countries or areas",2018,Gross enrollment ratio - Primary (female),104.1346,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
