date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-06-01,sh.600519,2222.0000,2248.9500,2206.0000,2240.9500,2218.0000,3061634,6832594465.5000,3,0.243700,1,1.034700,59.192519,16.060981,27.938576,131.827086,0
2021-06-02,sh.600519,2250.0000,2264.0000,2208.1800,2222.0000,2240.9500,2286277,5088908383.9800,3,0.182000,1,-0.845600,58.691973,15.925166,27.702320,130.712325,0
2021-06-03,sh.600519,2220.0000,2260.3400,2210.0800,2222.2200,2222.0000,2345031,5242453018.5000,3,0.186700,1,0.009900,58.697784,15.926742,27.705063,130.725267,0
2021-06-04,sh.600519,2215.0000,2288.0000,2214.0400,2251.5000,2222.2200,3142219,7058715114.6800,3,0.250100,1,1.317600,59.471187,16.136593,28.070105,132.447705,0
2021-06-07,sh.600519,2265.0000,2279.0000,2240.0100,2271.0000,2251.5000,2546627,5756592694.1700,3,0.202700,1,0.866100,59.986260,16.276351,28.313218,133.594820,0
2021-06-08,sh.600519,2260.0000,2279.9900,2161.1500,2191.0000,2271.0000,4731363,10479943156.1000,3,0.376600,1,-3.522700,57.873138,15.702987,27.315834,128.888706,0
