,ts_code,sub_code,name,ipo_date,issue_date,amount,market_amount,price,pe,limit_amount,funds,ballot
276,688208.SH,787208,道通科技,20200204,20200213,5000.0,1430.0,24.36,36.16,0.95,7.36,0.05
277,300820.SZ,300820,英杰电气,20200204,20200213,1584.0,1584.0,33.66,18.98,1.55,5.332,0.02
278,300818.SZ,300818,耐普矿机,20200203,20200212,1750.0,1750.0,21.14,22.99,1.75,3.7,0.02
279,688080.SH,787080,映翰通,20200122,20200212,1311.0,498.0,27.63,32.38,0.35,3.053,0.04
280,688398.SH,787398,赛特新材,20200122,20200211,2000.0,760.0,24.12,47.45,0.55,4.605,0.04
281,688186.SH,787186,广大特材,20200121,20200211,4180.0,1588.0,17.16,23.4,1.15,7.764,0.05
282,603893.SH,732893,瑞芯微,20200120,20200207,4200.0,3780.0,9.68,22.98,1.2,4.066,0.04
283,300816.SZ,300816,艾可蓝,20200117,20200210,2000.0,2000.0,20.28,21.78,2.0,4.056,0.02
284,688298.SH,787298,东方生物,20200116,20200205,3000.0,1140.0,21.25,40.73,0.85,0.0,0.04
285,603195.SH,732195,公牛集团,20200116,20200206,6000.0,5400.0,59.45,22.93,1.8,35.772,0.05
286,002975.SZ,002975,博杰股份,20200116,20200205,1737.0,1737.0,34.6,21.53,1.7,6.009,0.01
287,603290.SH,732290,斯达半导,20200115,20200204,4000.0,3600.0,12.74,22.98,1.6,5.096,0.04
288,688159.SH,787159,有方科技,20200114,20200123,2292.0,779.0,20.35,49.31,0.55,6.277,0.04
289,688266.SH,787266,泽璟制药,20200114,20200123,6000.0,1722.0,33.76,0.0,1.1,25.409,0.05
290,300815.SZ,300815,玉禾田,20200114,20200123,3460.0,3114.0,29.55,22.98,1.35,10.224,0.03
291,688026.SH,787026,洁特生物,20200113,20200122,2500.0,950.0,16.49,34.93,0.7,3.404,0.04
292,688158.SH,787158,优刻得,20200108,20200120,5850.0,1404.0,33.23,181.85,0.9,0.0,0.05
293,688278.SH,787278,特宝生物,20200107,20200117,4650.0,1205.0,8.24,209.46,0.8,0.0,0.05
294,688100.SH,787100,威胜信息,20200107,20200121,5000.0,1275.0,13.78,42.46,0.85,6.832,0.05
295,601816.SH,780816,京沪高铁,20200106,20200116,628563.0,234379.0,4.88,23.39,94.2,0.0,0.79
296,300813.SZ,300813,泰林生物,20200103,20200114,1300.0,1300.0,18.35,22.97,1.3,2.385,0.01
297,002971.SZ,002971,和远气体,20200102,20200113,4000.0,3600.0,10.82,22.97,1.6,4.328,0.03
298,688178.SH,787178,万德斯,20200102,20200114,2125.0,808.0,25.2,29.14,0.6,5.944,0.04
299,603551.SH,732551,奥普家居,20200102,20200115,4001.0,3601.0,15.21,21.85,1.2,6.402,0.04
